,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
183,2,94.0,21,2,1,2,3,2,1,97.3,171.7,65.5,55.7,2264,3,1,97,7,3.01,3.4,23.0,52.0,4800.0,37,46,7995.0
184,2,94.0,21,1,1,2,3,2,1,97.3,171.7,65.5,55.7,2212,3,1,109,1,3.19,3.4,9.0,85.0,5250.0,27,34,8195.0
185,2,94.0,21,1,1,2,3,2,1,97.3,171.7,65.5,55.7,2275,3,1,109,1,3.19,3.4,9.0,85.0,5250.0,27,34,8495.0
186,2,94.0,21,2,2,2,3,2,1,97.3,171.7,65.5,55.7,2319,3,1,97,7,3.01,3.4,23.0,68.0,4500.0,37,42,9495.0
187,2,94.0,21,1,1,2,3,2,1,97.3,171.7,65.5,55.7,2300,3,1,109,1,3.19,3.4,10.0,100.0,5500.0,26,32,9995.0
188,3,115.0,21,1,1,1,1,2,1,94.5,159.3,64.2,55.6,2254,3,1,109,1,3.19,3.4,8.5,90.0,5500.0,24,29,11595.0
189,3,256.0,21,1,1,1,2,2,1,94.5,165.7,64.0,51.4,2221,3,1,109,1,3.19,3.4,8.5,90.0,5500.0,24,29,9980.0
190,0,115.0,21,1,1,2,3,2,1,100.4,180.2,66.9,55.1,2661,3,3,136,1,3.19,3.4,8.5,110.0,5500.0,19,24,13295.0
191,0,115.0,21,2,2,2,3,2,1,100.4,180.2,66.9,55.1,2579,3,1,97,7,3.01,3.4,23.0,68.0,4500.0,33,38,13845.0
192,0,115.0,21,1,1,2,4,2,1,100.4,183.1,66.9,55.1,2563,3,1,109,1,3.19,3.4,9.0,88.0,5500.0,25,31,12290.0
193,-2,103.0,22,1,1,2,3,1,1,104.3,188.8,67.2,56.2,2912,3,1,141,1,3.78,3.15,9.5,114.0,5400.0,23,28,12940.0
194,-1,74.0,22,1,1,2,4,1,1,104.3,188.8,67.2,57.5,3034,3,1,141,1,3.78,3.15,9.5,114.0,5400.0,23,28,13415.0
195,-2,103.0,22,1,1,2,3,1,1,104.3,188.8,67.2,56.2,2935,3,1,141,1,3.78,3.15,9.5,114.0,5400.0,24,28,15985.0
196,-1,74.0,22,1,1,2,4,1,1,104.3,188.8,67.2,57.5,3042,3,1,141,1,3.78,3.15,9.5,114.0,5400.0,24,28,16515.0
197,-2,103.0,22,1,2,2,3,1,1,104.3,188.8,67.2,56.2,3045,3,1,130,1,3.62,3.15,7.5,162.0,5100.0,17,22,18420.0
198,-1,74.0,22,1,2,2,4,1,1,104.3,188.8,67.2,57.5,3157,3,1,130,1,3.62,3.15,7.5,162.0,5100.0,17,22,18950.0
199,-1,95.0,22,1,1,2,3,1,1,109.1,188.8,68.9,55.5,2952,3,1,141,1,3.78,3.15,9.5,114.0,5400.0,23,28,16845.0
200,-1,95.0,22,1,2,2,3,1,1,109.1,188.8,68.8,55.5,3049,3,1,141,1,3.78,3.15,8.7,160.0,5300.0,19,25,19045.0
201,-1,95.0,22,1,1,2,3,1,1,109.1,188.8,68.9,55.5,3012,2,2,173,1,3.58,2.87,8.8,134.0,5500.0,18,23,21485.0
202,-1,95.0,22,2,2,2,3,1,1,109.1,188.8,68.9,55.5,3217,3,2,145,7,3.01,3.4,23.0,106.0,4800.0,26,27,22470.0
203,-1,95.0,22,1,2,2,3,1,1,109.1,188.8,68.9,55.5,3062,3,1,141,1,3.78,3.15,9.5,114.0,5400.0,19,25,22625.0
